  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   2.1	   2.1	   2.1	   2.1	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.2	   2.2	   2.2	   2.2
      64	   2.2	   2.2	   2.1	   2.1	   2.1	   2.1	   2.0	   2.0	   2.0	   2.0	   2.0	   2.0	   2.4	   2.4	   2.4	   2.4	   2.4	   2.3	   2.4	   2.4	   2.4	   2.4	   3.2	   3.1	   3.8	   3.7
     128	   2.3	   2.3	   2.2	   2.2	   2.1	   2.1	   2.1	   2.1	   2.1	   2.1	   2.0	   2.0	   2.6	   2.6	   3.5	   3.5	   3.7	   3.6	   3.7	   3.7	   3.7	   3.6	   8.5	   8.3	  13.0	  12.7
     256	   2.2	   2.2	   2.3	   2.3	   2.2	   2.2	   2.1	   2.1	   2.1	   2.1	   2.1	   2.0	   2.4	   2.4	   3.0	   2.9	   3.4	   3.4	   3.1	   3.0	   3.4	   3.4	   7.5	   7.3	  12.7	  12.4
     512	   3.3	   3.3	   2.3	   2.2	   2.3	   2.3	   2.2	   2.2	   2.1	   2.1	   2.2	   2.1	   2.7	   2.6	   3.7	   3.7	   3.8	   3.7	   3.8	   3.7	   3.8	   3.8	   9.5	   9.4	  12.6	  12.4
    1024	   2.6	   2.6	   2.4	   2.4	   3.2	   3.1	   3.4	   3.3	   3.2	   3.0	   3.3	   3.3	   3.5	   3.1	   5.2	   5.0	   5.5	   5.0	   4.4	   4.3	   5.2	   5.1	   5.9	   5.9	  10.2	  10.1
    2048	   3.2	   3.1	   2.6	   2.6	   5.8	   5.0	   7.6	   5.1	   8.0	   5.3	   8.0	   6.3	   7.8	   6.5	   7.3	   6.2	  12.1	  10.7	  11.1	  10.0	  11.2	   9.7	  10.2	  10.1	  11.0	  11.0
    4096	   4.3	   4.3	   3.4	   3.3	   7.2	   6.5	  15.0	  12.2	  18.7	  13.0	  18.9	  14.6	  20.2	  15.4	  19.4	  16.3	  20.9	  17.3	  24.4	  22.5	  25.1	  22.2	  24.5	  24.4	  24.3	  24.2
    8192	   6.6	   6.5	   5.0	   4.3	   3.6	   3.1	   7.1	   6.3	  15.4	  14.2	  18.6	  15.1	  18.8	  14.8	  22.7	  17.8	  23.9	  19.9	  23.9	  22.5	  24.7	  22.9	  24.4	  23.7	  24.8	  24.6
   16384			   7.1	   6.5	   4.3	   4.3	   4.0	   4.0	   9.4	   7.4	  15.6	  13.5	  19.1	  17.2	  19.9	  18.5	  20.1	  16.5	  27.6	  24.6	  24.2	  21.6	  25.1	  19.9	  25.7	  25.1
   32768					   6.6	   6.5	   4.3	   4.3	   4.2	   3.5	   9.4	   7.2	  15.2	  13.7	  19.2	  18.7	  24.4	  20.4	  24.0	  22.4	  24.8	  21.6	  26.4	  25.2	  62.4	  60.7
   65536							   7.1	   7.0	   4.3	   4.3	   3.9	   3.6	  10.7	   7.2	  15.4	  14.1	  19.2	  16.6	 137.2	  65.2	  45.5	  31.0	  18.0	  17.6	  21.8	  19.0
  131072									   7.1	   6.6	   4.3	   4.3	   3.2	   3.1	   9.2	   7.4	  35.2	  22.0	 109.7	  57.7	  54.2	  39.8	 162.5	 151.7	  17.8	  17.4
  262144											   7.0	   6.5	   4.3	   4.3	   4.2	   4.0	  10.7	   7.2	  15.1	  13.1	  18.8	  16.6	  18.5	  17.7	  18.1	  17.4
  524288													   6.6	   6.5	   4.3	   4.3	   3.2	   3.1	   9.1	   6.6	  15.3	  13.6	  18.6	  18.2	  18.8	  17.8
 1048576															   7.1	   6.5	   4.3	   4.3	   4.0	   3.1	   6.7	   6.5	  15.3	  12.7	  18.8	  17.6
 2097152																	   6.6	   6.5	   5.0	   5.0	   3.2	   3.1	   6.7	   6.4	  14.6	  13.6
 4194304																			   7.1	   6.6	   4.3	   4.3	   3.7	   3.1	   6.7	   6.4
 8388608																					   7.1	   7.0	   4.3	   4.3	   3.5	   3.5
16777216																							   7.1	   6.6	   5.0	   5.0
33554432																									   7.9	   7.5
