  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   4.4	   2.1	   5.3	   2.1	   3.6	   2.0	   4.9	   2.0	   3.7	   2.0	   4.8	   2.0	   3.2	   2.0	   4.5	   2.0	   4.6	   2.0	   4.9	   2.0	   4.1	   2.0	   3.6	   2.3	   5.1	   2.3
      64	   5.7	   2.2	   2.3	   2.1	   4.4	   2.1	   2.3	   2.0	   4.1	   2.0	   5.0	   2.0	   4.6	   2.4	   5.6	   2.4	   3.5	   2.3	   4.4	   2.3	   4.0	   2.4	   7.6	   3.2	   9.6	   4.0
     128	   2.5	   2.3	   3.3	   2.2	   5.5	   2.1	   3.0	   2.1	   4.7	   2.0	   3.2	   2.0	   5.1	   2.4	   5.3	   3.5	   6.9	   3.7	   7.9	   3.5	   9.0	   3.7	  19.1	   7.4	  29.9	  12.7
     256	   4.1	   2.2	   4.8	   2.3	   2.7	   2.2	   3.8	   2.1	   5.6	   2.1	   3.6	   2.0	   5.6	   2.5	   5.5	   3.0	   7.3	   3.4	   5.7	   3.2	   7.1	   3.5	  21.6	   8.8	  28.8	  12.6
     512	   5.0	   2.4	   6.1	   2.2	   3.9	   2.3	   4.9	   2.2	   2.7	   2.1	   4.4	   2.1	   6.4	   2.5	   7.7	   3.7	   8.8	   3.7	   8.4	   3.8	   7.4	   3.7	  15.8	   6.2	  40.7	  16.8
    1024	   6.8	   2.6	   2.8	   2.4	   7.3	   3.2	   9.3	   3.5	   5.4	   3.1	   8.1	   3.4	   4.3	   3.1	   9.6	   4.0	   8.4	   5.2	  13.8	   5.5	   9.5	   5.1	  11.6	   4.6	  24.9	  10.2
    2048	   3.5	   3.1	   4.5	   2.6	  13.8	   5.0	   8.5	   6.1	  14.6	   6.9	  20.1	   6.8	  11.1	   6.4	  21.6	   7.5	  15.5	   6.9	  22.5	  10.4	  31.1	  12.7	  22.5	   9.4	  32.8	  13.5
    4096	   6.9	   4.3	   6.7	   3.1	  21.2	   6.3	  23.7	  14.1	  44.1	  16.8	  21.0	  15.5	  34.7	  16.0	  36.5	  18.6	  48.6	  18.3	  52.8	  19.1	  51.9	  25.3	  59.0	  24.2	  58.7	  24.5
    8192	  14.5	   6.5	  11.0	   4.3	   4.3	   3.1	  14.0	   6.1	  40.7	  13.7	  25.8	  17.2	  39.1	  15.3	  34.9	  15.3	  52.0	  18.3	  28.0	  20.5	  46.0	  22.5	  58.7	  24.1	  56.1	  24.1
   16384			   8.7	   6.5	   7.7	   4.3	   7.4	   3.1	  11.2	   7.3	  26.2	  13.8	  46.6	  18.4	  41.1	  17.6	  33.4	  18.4	  40.6	  18.2	  39.9	  21.6	  60.3	  24.3	  59.1	  24.7
   32768					  15.6	   6.5	  11.7	   4.3	   5.0	   3.1	  19.5	   7.0	  42.9	  14.4	  45.9	  18.5	  38.1	  17.9	  43.4	  18.3	  52.2	  21.2	  80.5	  31.9	 121.5	  49.5
   65536							   8.6	   6.5	   8.4	   4.3	   7.5	   3.1	   9.9	   6.6	  40.5	  12.9	  49.9	  19.4	  34.8	  25.6	  37.4	  18.2	  54.9	  21.5	  57.6	  26.4
  131072									  15.7	   6.5	  12.1	   4.3	   4.2	   3.1	   9.4	   7.5	  41.7	  13.4	  31.7	  16.9	  33.3	  17.6	 281.5	 109.6	  35.3	  19.5
  262144											   7.1	   6.7	   7.1	   4.3	   4.5	   3.1	  10.6	   6.6	  35.9	  13.7	  54.1	  16.8	  51.2	  17.2	  26.7	  17.8
  524288													  13.7	   6.5	   7.5	   4.3	   4.9	   3.1	   7.1	   6.1	  33.0	  13.7	  54.5	  18.0	  25.1	  18.1
 1048576															  14.7	   6.5	   8.6	   4.3	   5.5	   3.1	  14.3	   6.3	  45.0	  13.7	  24.4	  19.3
 2097152																	  17.1	   6.5	  10.4	   4.3	   5.4	   3.1	  18.7	   6.3	  45.3	  13.9
 4194304																			   8.3	   6.5	   7.8	   4.3	   8.9	   3.1	  31.3	   6.7
 8388608																					   9.4	   6.5	  12.2	   4.3	   9.5	   3.5
16777216																							  10.3	   6.5	  11.6	   5.6
33554432																									  10.6	   6.5
