 THREADS	TIMESLICE	  STRIDE	 24KiB	   min	 48KiB	   min	 96KiB	   min	192KiB	   min	384KiB	   min	768KiB	   min	  1MiB	   min	  3MiB	   min	  6MiB	   min	 12MiB	   min	 24MiB	   min	 48MiB	   min
       0	0.000000	      32	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   3.4	   3.4	   3.2	   3.1	   3.2	   3.0	   3.1	   3.1	   3.1	   3.1	  10.2	   9.6
       0	0.000000	      64	   2.6	   2.6	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   4.3	   4.0	   5.9	   5.6	   5.9	   5.6	   5.9	   5.7	   5.9	   5.9	  14.3	  14.1
       0	0.000000	     128	   2.6	   2.6	   2.6	   2.6	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   5.5	   5.2	   9.3	   8.5	   9.3	   8.6	   9.3	   8.7	   9.3	   9.0	  23.0	  22.6
       0	0.000000	     256	   2.7	   2.6	   2.6	   2.6	   2.6	   2.6	   2.5	   2.5	   2.5	   2.5	   2.5	   2.5	   5.8	   5.2	   9.4	   8.6	   9.4	   8.7	   9.5	   9.1	   9.5	   9.2	  29.5	  27.7
       0	0.000000	     512	   2.7	   2.7	   2.6	   2.6	   2.6	   2.6	   2.6	   2.6	   2.5	   2.5	   2.5	   2.5	   5.8	   5.1	   9.3	   8.6	   9.4	   8.6	   9.4	   8.7	   9.4	   9.1	  30.5	  30.4
       0	0.000000	    1024	   2.9	   2.9	   2.7	   2.7	   2.6	   2.6	   2.6	   2.6	   2.6	   2.6	   2.5	   2.5	   5.7	   5.1	   9.3	   8.6	   9.4	   8.6	   9.4	   8.7	   9.6	   8.6	  28.0	  26.5
       0	0.000000	    2048	   3.3	   3.3	   2.9	   2.9	   2.7	   2.7	   2.6	   2.6	   2.6	   2.6	   2.6	   2.6	   5.9	   5.1	   9.3	   8.6	   9.4	   8.6	   9.4	   8.7	   9.4	   9.1	  28.5	  25.4
       0	0.000000	    4096	   4.0	   4.0	   3.3	   3.3	   2.9	   2.9	   2.7	   2.7	   2.6	   2.6	   2.6	   2.6	   6.8	   5.7	   9.3	   8.6	   9.3	   8.5	  12.0	   9.9	  13.7	  11.5	  26.2	  24.2
       0	0.000000	    8192	   6.1	   6.1	   4.0	   4.0	   3.3	   3.3	   2.9	   2.9	   2.7	   2.7	   2.6	   2.6	   7.3	   5.8	   9.4	   8.6	   9.4	   8.7	   9.4	   8.6	  12.0	   9.9	  27.3	  25.6
       0	0.000000	   16384			   6.1	   5.8	   4.0	   4.0	   3.3	   3.3	   2.9	   2.9	   2.7	   2.7	   8.3	   6.7	   9.4	   8.7	   9.4	   8.6	   9.4	   8.6	   9.4	   8.7	  30.0	  24.6
       0	0.000000	   32768					   6.1	   5.8	   4.0	   4.0	   3.3	   3.3	   2.9	   2.9	   8.9	   7.9	   9.3	   8.5	   9.4	   8.6	   9.3	   8.6	   9.4	   8.6	  25.5	  22.7
       0	0.000000	   65536							   6.1	   6.1	   4.0	   4.0	   3.3	   3.3	   8.2	   6.3	   9.3	   8.9	   9.5	   8.6	   9.3	   8.5	   9.4	   8.7	  23.4	  22.8
       0	0.000000	  131072									  12.0	   6.1	   6.0	   4.0	   3.3	   3.3	   8.6	   5.5	   9.2	   8.4	   9.5	   8.7	   9.5	   8.8	  29.5	  27.8
       0	0.000000	  262144											   6.1	   6.1	   7.9	   7.8	   3.3	   3.3	   7.0	   6.0	   9.3	   8.6	   9.3	   8.5	   9.7	   9.1
       0	0.000000	  524288													   6.1	   6.1	   4.0	   4.0	   3.3	   3.3	   8.5	   6.3	   9.6	   8.9	   9.6	   9.5
       0	0.000000	 1048576															   6.1	   6.1	   4.0	   4.0	   3.3	   3.3	   8.8	   6.8	   9.8	   8.6
       0	0.000000	 2097152																	   6.1	   6.1	   4.0	   4.0	   3.3	   3.3	   8.6	   6.3
       0	0.000000	 4194304																			   6.1	   6.1	   4.0	   4.0	   3.3	   3.3
       0	0.000000	 8388608																					   6.1	   6.1	   4.0	   4.0
       0	0.000000	16777216																							   5.9	   5.8
