  STRIDE	 64MiB	   min
      32	   4.7	   4.4
      64	  10.3	   9.3
     128	  36.8	  35.0
     256	  34.5	  33.3
     512	  41.3	  36.1
    1024	  29.1	  20.0
    2048	  30.1	  15.3
    4096	  38.8	  19.2
    8192	  39.4	  19.4
   16384	  40.5	  19.8
   32768	  35.0	  17.1
   65536	  34.9	  16.9
  131072	  31.2	  15.1
  262144	  30.2	  14.5
  524288	  29.7	  14.5
 1048576	  32.4	  15.1
 2097152	  23.9	  11.3
 4194304	  16.7	   6.0
 8388608	   7.3	   3.3
16777216	   9.7	   4.2
33554432	  15.2	   7.3
