  STRIDE	 16KiB	   min	 32KiB	   min	 64KiB	   min	128KiB	   min	256KiB	   min	512KiB	   min	  1MiB	   min	  2MiB	   min	  4MiB	   min	  8MiB	   min	 16MiB	   min	 32MiB	   min	 64MiB	   min
      32	   3.7	   2.3	   5.1	   2.2	   3.0	   2.1	   4.7	   2.1	   3.5	   2.1	   4.6	   2.1	   2.9	   2.2	   4.6	   2.1	   4.7	   2.1	   4.6	   2.1	   3.8	   2.2	   6.8	   4.5	   5.6	   2.6
      64	   6.0	   2.6	   7.3	   2.4	   4.3	   2.4	   6.4	   2.3	   4.6	   2.3	   6.1	   2.6	   5.0	   2.8	   6.1	   2.5	   6.0	   2.4	   4.0	   2.4	   4.5	   2.5	  11.9	   5.0	   9.5	   4.3
     128	   3.4	   3.0	   4.3	   2.6	   6.0	   2.4	   3.6	   2.3	   5.4	   2.3	   3.5	   2.6	   7.7	   3.7	   6.3	   4.5	   8.6	   5.0	   9.8	   4.6	   9.6	   5.5	  25.6	  14.6	  39.4	  17.6
     256	   7.5	   3.3	   7.2	   3.0	   3.5	   2.6	   5.1	   2.4	   6.9	   2.4	   5.6	   3.1	   8.3	   3.6	   8.2	   4.4	   9.0	   4.3	   7.3	   4.3	   9.2	   5.0	  31.6	  12.8	  38.5	  15.9
     512	  11.6	   4.3	  10.2	   3.3	   6.1	   3.1	   7.5	   2.8	   3.9	   2.6	   6.5	   3.1	   5.9	   4.2	  10.2	   4.8	  12.5	   5.4	  11.1	   5.1	  11.9	   6.9	  23.9	  15.0	  44.4	  19.0
    1024	   7.6	   4.2	   8.8	   3.6	   9.2	   3.5	   4.8	   3.4	   6.4	   3.2	   8.3	   3.1	   6.5	   3.9	  10.4	   4.5	   8.0	   4.7	   9.0	   4.8	  15.1	   6.2	  17.0	   6.9	  38.9	  16.4
    2048	  12.2	   5.3	  13.0	   4.8	   6.2	   5.0	   9.4	   4.4	  12.1	   4.1	   4.8	   3.8	   8.8	   3.8	   8.1	   5.2	  11.9	   5.7	  14.4	   6.4	  15.6	   7.4	  19.3	   7.7	  19.9	   8.0
    4096	  23.3	   7.6	  18.7	   6.2	  17.7	   9.3	  36.7	  13.6	  45.8	  14.5	  25.8	  12.0	  37.1	  12.5	  29.0	  13.0	  36.1	  12.9	  28.8	  15.3	  38.1	  18.8	  33.9	  20.5	  49.1	  20.8
    8192	  19.8	  12.1	  13.0	   7.6	  16.1	   6.4	  11.0	   9.6	  21.9	  13.9	  32.3	  14.2	  44.7	  13.4	  33.3	  12.9	  24.9	  12.7	  32.7	  13.4	  35.8	  18.0	  46.8	  19.8	  49.2	  20.7
   16384			  27.9	  12.1	   9.4	   7.6	   8.5	   5.3	  29.9	  10.7	  46.2	  15.1	  24.3	  16.8	  45.9	  16.3	  33.2	  15.8	  44.6	  16.8	  33.8	  17.3	  52.2	  20.5	  52.7	  22.3
   32768					  21.6	  12.1	  16.5	   7.6	  14.8	   5.3	  19.1	  10.5	  32.2	  15.9	  22.8	  16.7	  41.6	  16.5	  29.0	  15.9	  30.6	  16.3	  28.3	  17.1	  47.9	  20.2
   65536							  32.1	  12.1	   9.7	   7.6	   9.5	   5.3	  34.1	   9.4	  30.0	  15.1	  17.9	  15.5	  41.5	  16.2	  26.4	  15.6	  43.5	  18.1	  48.6	  20.1
  131072									  20.2	  12.1	  17.6	   7.6	  18.2	   6.7	  30.9	  10.8	  26.9	  16.0	  24.6	  15.8	  22.9	  14.8	  46.7	  15.8	  42.9	  16.1
  262144											  32.1	  12.1	  10.4	   7.6	  14.5	   5.3	  31.1	  10.1	  39.4	  15.0	  49.8	  15.8	  26.1	  17.0	  47.3	  16.7
  524288													  21.3	  12.1	  10.6	   7.6	  15.3	   5.3	  14.1	   9.4	  31.7	  13.5	  49.9	  18.1	  48.9	  17.9
 1048576															  21.7	  12.1	   8.5	   7.6	  13.1	   5.8	  20.2	   9.1	  59.4	  17.6	  57.0	  20.4
 2097152																	  18.6	  11.4	  10.5	   7.6	   9.2	   5.3	  16.9	  11.2	  44.5	  15.3
 4194304																			  26.8	  12.1	  10.2	   7.6	  26.6	   7.0	  45.9	  14.4
 8388608																					  13.3	  11.4	  23.4	   7.6	  15.5	   5.4
16777216																							  16.9	  11.4	  23.4	   7.6
33554432																									  14.2	  12.1
